,Title,Year,Summary,Short Summary,Genres,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
585,Star Trek: Beyond,2016,"After stopping off at Starbase Yorktown, a remote outpost on the fringes of Federation space, the USS Enterprise, halfway into their five-year mission, is destroyed by an unstoppable wave of unknown aliens. With the crew stranded on an unknown planet and with no apparent means of rescue, they find themselves fighting against a ruthless enemy with a well-earned hatred of the Federation and everything it stands for. Only a rebellious alien warrior can help them reunite and leave the planet to stop this deadly menace from beginning a possible galactic war.","The crew of the USS Enterprise explores the furthest reaches of uncharted space, where they encounter a new ruthless enemy, who puts them, and everything the Federation stands for, to the test.",Action|Adventure|Sci-Fi|Thriller,tt2660888,122,dCyv5xKIqlw,7.1,https://hydramovies.com/wp-content/uploads/2018/04/Star-Trek-Beyond-Movie-Poster.jpg,Justin Lin,Simon Pegg,Chris Pine|Zachary Quinto
586,Bad Moms,2016,"Amy has a seemingly perfect life - a great marriage, over-achieving kids, a beautiful home and a career. However, she's overworked, over-committed and exhausted to the point that she's about to snap. Fed up, she joins forces with two other over-stressed moms on a quest to liberate themselves from conventional responsibilities - going on a wild, un-mom-like binge of long overdue freedom, fun and self-indulgence - putting them on a collision course with PTA Queen Bee Gwendolyn and her clique of devoted perfect moms.","When three overworked and under-appreciated moms are pushed beyond their limits, they ditch their conventional responsibilities for a jolt of long overdue freedom, fun, and comedic self-indulgence.",Action|Comedy,tt4651520,100,P0FNjPsANGk,6.2,https://hydramovies.com/wp-content/uploads/2018/04/Bad-Moms-Movie-Poster.jpg,Jon Lucas,Jon Lucas,Kathryn Hahn|Kristen Bell|Mila Kunis
588,Captain Fantastic,2016,"Ben and Leslie Cash live largely off the grid with their offspring -- Bodevan, Kielyr, Vespyr, Rellian, Zaja and Nai -- in a cabin in the mountains of Washington state. The parents have passed their socialist and survivalist ideals to their children. Ben considers most of Western society to be fascist, especially corporate America. He also believes that no one will or should be there for you, so you'd better learn how to take care of yourself. As such, the children have been subject to vigorous physical training; know how to deal with minor bumps, bruises, cuts, sprains, and even fractures; and know how to hunt, forage, and grow their own food. The children are also non-registered home schooled, meaning that they have no official academic records. Ben and Leslie have tried to make the children critical thinkers, however, within the context of their ideals. Beyond these issues, Ben and Leslie made the decision to live this lifestyle for Leslie's health. Formerly an attorney, Leslie was...","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",Comedy|Drama|Romance,tt3553976,118,D1kH4OMIOMc,7.9,https://hydramovies.com/wp-content/uploads/2018/04/Captain-Fantastic-Movie-Poster.jpg,Matt Ross,Matt Ross,George MacKay|Samantha Isler|Viggo Mortensen
589,Nerve,2016,"'Nerve' is about an online dare game, in which people give participants anonymous dares for money. The participants compete with each other to win the grand prize as the dares get tougher. Things get worse when the tasks get increasingly dangerous and lives are at stake.","A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of &quot;watchers.&quot;",Action|Adventure|Crime|Drama|Mystery,tt3531824,96,2PR9MOPTI7g,6.6,https://hydramovies.com/wp-content/uploads/2018/04/Nerve-Movie-Poster.jpg,Henry Joost,Jessica Sharzer,Dave Franco|Emily Meade|Emma Roberts
590,Lights Out,2016,"A man called Paul is working after hours and is murdered by a supernatural entity in the shadow. When his son, the boy Martin, is frightened by the same creature, he sees his mother Sophie talking to an imaginary friend called Diana in the shadow of her room. Martin does not sleep anymore during the night. His older step sister Rebecca who lives alone is summoned by the social assistant. She brings Martin home and recalls her own experience with Diana years ago when she was young. Rebecca and her boyfriend Bret investigate the connection of Sophie with Diana and come up to a scary revelation about their past.","Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with a supernatural spirit attached to their mother.",Action|Horror|Thriller,tt4786282,81,SrJiltfB_Cw,6.3,https://hydramovies.com/wp-content/uploads/2018/04/Lights-Out-Movie-Poster.jpg,David F. Sandberg,Eric Heisserer,Gabriel Bateman|Maria Bello|Teresa Palmer
3426,The Mountain II,2016,"DAG II; tells the story of a clandestine special forces squad; call sign 'Storm Bringer'. Following the events of the first film, Bekir and Oguz, unlikely best friends, have enrolled in the world famous, perpetually grueling Turkish special forces training. Their first mission begins six years later-- to infiltrate the most barbarous area of modern day Iraq for a rescue mission.","In a desolate war zone where screams of the innocent echo, on the very line between disaster and valor, 7 Maroon Berets will dance with death.",Drama|War,tt5813916,135,jpByS8cbcVA,9.5,https://hydramovies.com/wp-content/uploads/2018/06/The-Mountain-II-Movie-Poster-1.jpg,Alper Caglar,Alper Caglar,Bedii Akin|Murat Arkin|Ozan Agaç
316,Ali and Nino,2016,"Ali is an upper class Muslim man, whose family holds a great deal of power in Baku, Azerbaijan. At that time, before World War One, Azerbaijan was part of the Russian Empire. Nino, Ali's lover, is from neighboring Georgia and is Christian, but the two are deeply in love and elope to the countryside. The story follows the two, who get married, through World War One, which only sees some of Ali's friends sent off to war. After the Russians surrender, however, conflict comes to Baku. Ali fights the Bolsheviks with the Azerbaijani militia and Nino helps nurse wounded soldiers during the March Days massacre in Baku.",Love story of a Muslim Azerbaijani boy and Christian Georgian girl in Baku from 1918 to 1920.,Drama|Romance|War,tt4072326,100,m8-Imlxsqhc,7.1,https://hydramovies.com/wp-content/uploads/2018/04/Ali-and-Nino-Movie-Poster.jpg,Asif Kapadia,Christopher Hampton,Adam Bakri|Mandy Patinkin|María Valverde
595,Blood Father,2016,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.,Action|Crime|Drama|Thriller,tt3647498,88,hgl-xVubsjI,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Blood-Father-Movie-Poster.jpg,Jean-François Richet,Peter Craig,Erin Moriarty|Mel Gibson
597,The Infiltrator,2016,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.,Action|Biography|Crime|Drama|Thriller,tt1355631,127,N7_M4hjXW1I,7,https://hydramovies.com/wp-content/uploads/2018/04/The-Infiltrator-Movie-Poster.jpg,Brad Furman,Ellen Sue Brown,Bryan Cranston|Diane Kruger|John Leguizamo
598,Alice Through the Looking Glass,2016,"Alice returns to the magical world of Underland, only to find the Hatter in a horrible state. With the help of her friends, Alice must travel through time to save the Mad Hatter and Underland's fate from the evil clutches of the Red Queen and a clock like creature, known as Time.",Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.,Action|Adventure|Family|Fantasy,tt2567026,113,x3IWwnNe5mc,6.2,https://hydramovies.com/wp-content/uploads/2018/04/Alice-Through-the-Looking-Glass-Movie-Poster.jpg,James Bobin,Linda Woolverton,Helena Bonham Carter|Johnny Depp|Mia Wasikowska
